----------------------------------------------
fp32-fp32-batch1_deit_small_distilled_patch16_224
----------------------------------------------
Processing 233 / 50000 : Top-1 80.7% , Top-5: 96.1%     
Processing 234 / 50000 : Top-1 80.8% , Top-5: 96.2%     
Processing 235 / 50000 : Top-1 80.9% , Top-5: 96.2%     
Processing 236 / 50000 : Top-1 80.5% , Top-5: 96.2%     
Processing 237 / 50000 : Top-1 80.6% , Top-5: 96.2%     
Processing 238 / 50000 : Top-1 80.7% , Top-5: 96.2%     
Processing 239 / 50000 : Top-1 80.3% , Top-5: 96.2%     
Processing 240 / 50000 : Top-1 80.0% , Top-5: 96.2%     
Processing 241 / 50000 : Top-1 80.1% , Top-5: 96.3%     
Processing 242 / 50000 : Top-1 80.2% , Top-5: 96.3%     
Processing 243 / 50000 : Top-1 80.2% , Top-5: 96.3%     
Processing 244 / 50000 : Top-1 79.9% , Top-5: 96.3%     
Processing 245 / 50000 : Top-1 80.0% , Top-5: 96.3%     
Processing 246 / 50000 : Top-1 80.1% , Top-5: 96.3%     
Processing 247 / 50000 : Top-1 80.2% , Top-5: 96.4%     
Processing 248 / 50000 : Top-1 80.2% , Top-5: 96.4%     
Processing 249 / 50000 : Top-1 80.3% , Top-5: 96.4%     
Processing 250 / 50000 : Top-1 80.0% , Top-5: 96.4%     
Processing 251 / 50000 : Top-1 80.1% , Top-5: 96.4%     
Processing 252 / 50000 : Top-1 79.8% , Top-5: 96.4%     
Processing 253 / 50000 : Top-1 79.8% , Top-5: 96.4%     
Processing 254 / 50000 : Top-1 79.9% , Top-5: 96.5%     
Processing 255 / 50000 : Top-1 80.0% , Top-5: 96.5%     
Processing 256 / 50000 : Top-1 80.1% , Top-5: 96.5%     
Processing 257 / 50000 : Top-1 80.2% , Top-5: 96.5%     
Processing 258 / 50000 : Top-1 80.2% , Top-5: 96.5%     
Processing 259 / 50000 : Top-1 80.3% , Top-5: 96.5%     
Processing 260 / 50000 : Top-1 80.0% , Top-5: 96.5%     
Processing 261 / 50000 : Top-1 79.7% , Top-5: 96.6%     
Processing 262 / 50000 : Top-1 79.8% , Top-5: 96.6%     
Processing 263 / 50000 : Top-1 79.8% , Top-5: 96.6%     
Processing 264 / 50000 : Top-1 79.9% , Top-5: 96.6%     
Processing 265 / 50000 : Top-1 80.0% , Top-5: 96.6%     
Processing 266 / 50000 : Top-1 80.1% , Top-5: 96.6%     
Processing 267 / 50000 : Top-1 79.8% , Top-5: 96.6%     
Processing 268 / 50000 : Top-1 79.9% , Top-5: 96.6%     
Processing 269 / 50000 : Top-1 79.6% , Top-5: 96.7%     
Processing 270 / 50000 : Top-1 79.3% , Top-5: 96.3%     
Processing 271 / 50000 : Top-1 79.3% , Top-5: 96.3%     
Processing 272 / 50000 : Top-1 79.4% , Top-5: 96.3%     
Processing 273 / 50000 : Top-1 79.5% , Top-5: 96.3%     
Processing 274 / 50000 : Top-1 79.2% , Top-5: 96.4%     
Processing 275 / 50000 : Top-1 79.3% , Top-5: 96.4%     
